pattern,count
{'brownies'},233
{'avocado'},237
{'champagne'},282
{'salmon'},297
{'fresh bread'},307
{'cookies'},311
{'honey'},334
{'herb & pepper'},344
{'grated cheese'},363
{'soup'},367
{'cooking oil'},372
{'whole wheat rice'},403
{'turkey'},430
{'escalope'},430
{'chicken'},433
{'frozen smoothie'},438
{'olive oil'},453
{'tomatoes'},476
{'low fat yogurt'},491
{'shrimp'},511
{'cake'},534
{'burgers'},589
{'pancakes'},646
"{'pancakes', 'mineral water'}",252
{'frozen vegetables'},672
"{'frozen vegetables', 'mineral water'}",261
{'ground beef'},703
"{'ground beef', 'spaghetti'}",289
"{'ground beef', 'mineral water'}",304
{'green tea'},870
{'milk'},878
"{'milk', 'chocolate'}",230
"{'milk', 'spaghetti'}",259
"{'milk', 'mineral water'}",350
{'french fries'},994
"{'french fries', 'chocolate'}",238
"{'french fries', 'eggs'}",240
"{'french fries', 'mineral water'}",248
{'chocolate'},1050
"{'chocolate', 'eggs'}",239
"{'chocolate', 'spaghetti'}",287
"{'chocolate', 'mineral water'}",374
{'eggs'},1072
"{'eggs', 'spaghetti'}",266
"{'eggs', 'mineral water'}",361
{'spaghetti'},1186
"{'spaghetti', 'mineral water'}",439
{'mineral water'},1545
