pattern,count
"{'chocolate', 'eggs'}",249
"{'french fries', 'chocolate'}",258
"{'milk', 'chocolate'}",241
"{'mineral water', 'chocolate'}",395
"{'chocolate', 'spaghetti'}",294
"{'french fries', 'eggs'}",273
"{'milk', 'eggs'}",231
"{'mineral water', 'eggs'}",382
"{'spaghetti', 'eggs'}",274
"{'french fries', 'mineral water'}",253
"{'mineral water', 'frozen vegetables'}",268
"{'green tea', 'mineral water'}",232
"{'mineral water', 'ground beef'}",307
"{'ground beef', 'spaghetti'}",294
"{'mineral water', 'milk'}",360
"{'milk', 'spaghetti'}",266
"{'mineral water', 'pancakes'}",253
"{'mineral water', 'spaghetti'}",448
